Zustand,ID,vor 1900,1900 - 1920,1921 - 1946,1947 - 1960,1961 - 1970,1971 - 1980,1981 - 1990,1991 - 2000
nicht renoviert,7,0.2857,0.2857,0.2000,0.2667,0.3125,0.2941,0.2500,0.2174
nicht renoviert,6,0.1429,0.1429,0.0667,0.1333,0.1250,0.1176,0.1000,0.0870
nicht renoviert,8,0.0714,0.0714,0.0667,0.0667,0.0625,0.0588,0.0500,0.0435
nicht renoviert,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nicht renoviert,3,0.0714,0.0714,0.0000,0.0667,0.0625,0.0588,0.0500,0.0435
nicht renoviert,2,0.0714,0.0714,0.0000,0.0667,0.0625,0.0588,0.0500,0.0435
nicht renoviert,1,0.0714,0.0714,0.0667,0.0667,0.1250,0.0588,0.1000,0.0435
nicht renoviert,5,0.0714,0.0714,0.0667,0.0667,0.1250,0.1176,0.1000,0.0435
nicht renoviert,9,0.0714,0.0714,0.0000,0.0667,0.0625,0.0588,0.0500,0.0000
nicht renoviert,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nicht renoviert,11,0.0000,0.0000,-0.0667,0.0000,0.0000,0.0000,0.0000,-0.0435
nicht renoviert,12,0.0714,0.0714,0.0000,0.0667,0.0625,0.0588,0.0500,0.0000
nicht renoviert,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0435
nicht renoviert,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nicht renoviert,15,-0.0714,-0.0714,-0.0667,-0.0667,-0.0625,-0.0588,-0.0500,-0.0870
nicht renoviert,18,0.0000,-0.0714,-0.0667,-0.0667,-0.0625,-0.0588,-0.0500,-0.0870
nicht renoviert,19,0.0000,0.0000,-0.0667,0.0000,0.0000,0.0000,0.0000,-0.0435
nicht renoviert,17,-0.0714,-0.0714,-0.1333,-0.0667,-0.0625,-0.0588,-0.1000,-0.0870
nicht renoviert,16,0.0000,-0.0714,-0.0667,-0.0667,-0.0625,-0.0588,-0.0500,-0.0870
nicht renoviert,20,0.0714,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000
nicht renoviert,21,0.0714,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000
renoviert,7,0.2941,0.2353,0.3125,0.2500,0.2353,0.2778,0.3000,0.2609
renoviert,6,0.1176,0.1176,0.1250,0.1250,0.0588,0.1111,0.1000,0.0870
renoviert,8,0.0588,0.0588,0.0625,0.0625,0.0588,0.0556,0.1000,0.0435
renoviert,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
renoviert,3,0.0588,0.0588,0.0625,0.0625,0.0588,0.0556,0.0500,0.0435
renoviert,2,0.0588,0.0588,0.0625,0.0625,0.0000,0.0556,0.0500,0.0435
renoviert,1,0.0588,0.0588,0.1250,0.0625,0.0588,0.0556,0.1000,0.0435
renoviert,5,0.1176,0.0588,0.1250,0.0625,0.0588,0.0556,0.1000,0.0870
renoviert,9,0.0588,0.0000,0.0625,0.0625,0.0000,0.0556,0.0500,0.0435
renoviert,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
renoviert,11,0.0000,0.0000,0.0000,0.0000,-0.0588,0.0000,0.0000,-0.0435
renoviert,12,0.0588,0.0000,0.0625,0.0625,0.0000,0.0556,0.0500,0.0435
renoviert,13,0.0000,0.0000,0.0000,0.0000,-0.0588,0.0000,0.0000,0.0000
renoviert,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
renoviert,15,-0.0588,-0.0588,-0.0625,-0.0625,-0.1176,-0.0556,-0.0500,-0.0870
renoviert,18,-0.0588,-0.0588,0.0000,-0.0625,-0.0588,-0.0556,-0.0500,-0.0435
renoviert,19,0.0000,0.0000,0.0000,0.0000,-0.0588,0.0000,0.0000,-0.0435
renoviert,17,-0.0588,-0.1176,-0.0625,-0.0625,-0.1176,-0.1111,-0.0500,-0.0870
renoviert,16,-0.0588,-0.0588,-0.0625,-0.0625,-0.0588,-0.0556,-0.0500,-0.0870
renoviert,20,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000
renoviert,21,0.0000,0.0000,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000
